ClassId,SignName
0,20km/h
1,30km/h
2,50km/h
3,60km/h
4,70km/h
5,80km/h
6,80km/h
7,100km/h
8,120km/h
9,Durchfahrt verboten
10,Verbot für Kraftfahrzeuge über 3.5 Tonnen
11,Vorfahrt an der nächsten Kreuzung
12,Vorfahrtsstrasse
13,Vorfahrt gewaehren
14,Stopp
15,Keine Fahrzeuge
16,Fahrzeuge über 3.5 Tonnen verboten
17,Durchfahrt verboten
18,Achtungszeichen
19,Gefaehrliche Linkskurve
20,Gefaehrliche Rechtskurve
21,Doppelkurve
22,Holprige Strasse
23,Rutschgefahr
24,Verengte Fahrbahn
25,Strassenarbeiten
26,Lichtzeichenanlage
27,Fussgaenger
28,Kinder
29,Radfahrer
30,Schnee- oder Eisglaette
31,Wildwechsel
32,Ende der zuverlaessigen Hoechstgeschwindigkeit
33,Vorgeschriebene Fahrtrichtung rechts
34,Vorgeschriebene Fahrtrichtung links
35,Vorgeschriebene Fahrtrichtung geradeaus
36,Vorgeschriebene Fahrtrichtung geradeaus oder rechts
37,Vorgeschriebene Fahrtrichtung geradeaus oder links
38,Rechtshalten
39,Linkshalten
40,Kreisverkehr
41,Ende Durchfahrt verboten
42,Ende Verbot für Kraftfahrzeuge über 3.5 Tonnen
